time,seconds_elapsed,x,y,z
1.77266E+18,0.018855572,-0.152191162,0.134490967,-0.954162598
1.77266E+18,0.028893471,-0.103149414,0.185058594,-0.95513916
1.77266E+18,0.038930655,-0.095214844,0.210174561,-0.988128662
1.77266E+18,0.0489676,-0.116378784,0.223220825,-0.992523193
1.77266E+18,0.059005499,-0.135803223,0.239074707,-1.002120972
1.77266E+18,0.069042444,-0.125061035,0.237716675,-1.00302124
1.77266E+18,0.079080582,-0.1224823,0.220153809,-0.982971191
1.77266E+18,0.089117527,-0.123397827,0.208740234,-0.966995239
1.77266E+18,0.099154472,-0.120346069,0.208572388,-0.955749512
1.77266E+18,0.10919261,-0.120758057,0.211578369,-0.942474365
1.77266E+18,0.119229555,-0.125228882,0.210952759,-0.931503296
1.77266E+18,0.129267454,-0.123931885,0.222396851,-0.925003052
1.77266E+18,0.139304638,-0.125534058,0.236373901,-0.924499512
1.77266E+18,0.149342537,-0.133377075,0.240005493,-0.923202515
1.77266E+18,0.159379482,-0.139358521,0.234375,-0.916717529
1.77266E+18,0.169416666,-0.135437012,0.233108521,-0.916473389
1.77266E+18,0.179454565,-0.131393433,0.234634399,-0.918762207
1.77266E+18,0.18949151,-0.125228882,0.235519409,-0.916442871
1.77266E+18,0.199529648,-0.125900269,0.232635498,-0.912445068
1.77266E+18,0.209566593,-0.131973267,0.229187012,-0.914794922
1.77266E+18,0.219604492,-0.133972168,0.231674194,-0.917724609
1.77266E+18,0.229641438,-0.131896973,0.235733032,-0.923309326
1.77266E+18,0.239678621,-0.130569458,0.236877441,-0.93107605
1.77266E+18,0.24971652,-0.129745483,0.239608765,-0.934417725
1.77266E+18,0.259753466,-0.129684448,0.237197876,-0.938415527
1.77266E+18,0.269791603,-0.131469727,0.226379395,-0.9425354
1.77266E+18,0.279828548,-0.139022827,0.215637207,-0.944274902
1.77266E+18,0.289865494,-0.142974854,0.207168579,-0.954803467
1.77266E+18,0.299903631,-0.142883301,0.217590332,-0.962463379
1.77266E+18,0.309940577,-0.147659302,0.235412598,-0.972137451
1.77266E+18,0.319978476,-0.160064697,0.244033813,-0.981063843
1.77266E+18,0.330015659,-0.172012329,0.242202759,-0.988021851
1.77266E+18,0.340053558,-0.17868042,0.234588623,-0.990951538
1.77266E+18,0.350090504,-0.183868408,0.21270752,-0.984283447
1.77266E+18,0.360127449,-0.186920166,0.179229736,-0.974807739
1.77266E+18,0.370165586,-0.187805176,0.169586182,-0.96937561
1.77266E+18,0.380201578,-0.190795898,0.192474365,-0.968017578
1.77266E+18,0.390239477,-0.204727173,0.221084595,-0.966583252
1.77266E+18,0.400276661,-0.234466553,0.232421875,-0.955444336
1.77266E+18,0.41031456,-0.269699097,0.22958374,-0.934448242
1.77266E+18,0.420351505,-0.300308228,0.226303101,-0.919113159
1.77266E+18,0.430388451,-0.332092285,0.224822998,-0.910720825
1.77266E+18,0.440426588,-0.362182617,0.225463867,-0.921447754
1.77266E+18,0.450463533,-0.383087158,0.237823486,-0.929946899
1.77266E+18,0.460501671,-0.407470703,0.230392456,-0.906784058
1.77266E+18,0.470538616,-0.423370361,0.18951416,-0.88420105
1.77266E+18,0.480576515,-0.425567627,0.166809082,-0.868362427
1.77266E+18,0.490613461,-0.411758423,0.168746948,-0.866104126
1.77266E+18,0.500650644,-0.404663086,0.167694092,-0.879135132
1.77266E+18,0.510688543,-0.411300659,0.164169312,-0.905792236
1.77266E+18,0.520725489,-0.427230835,0.176940918,-0.942443848
1.77266E+18,0.530763626,-0.442047119,0.202560425,-0.954772949
1.77266E+18,0.540800571,-0.446777344,0.222122192,-0.940948486
1.77266E+18,0.55083847,-0.444717407,0.219573975,-0.940246582
1.77266E+18,0.560875654,-0.446792603,0.19354248,-0.947723389
1.77266E+18,0.5709126,-0.444396973,0.156387329,-0.95135498
1.77266E+18,0.580950499,-0.430953979,0.108123779,-0.937057495
1.77266E+18,0.590987444,-0.403274536,0.060775757,-0.910705566
1.77266E+18,0.601025581,-0.365890503,0.001251221,-0.89831543
1.77266E+18,0.611062527,-0.336669922,-0.072372437,-0.905395508
1.77266E+18,0.621100664,-0.321990967,-0.151428223,-0.923629761
1.77266E+18,0.631137609,-0.326080322,-0.250106812,-0.937515259
1.77266E+18,0.641174555,-0.336959839,-0.351669312,-0.920898438
1.77266E+18,0.651212454,-0.338745117,-0.427932739,-0.87310791
1.77266E+18,0.661249638,-0.316162109,-0.488037109,-0.802749634
1.77266E+18,0.671287537,-0.273162842,-0.566268921,-0.731643677
1.77266E+18,0.681324482,-0.219192505,-0.667007446,-0.663864136
1.77266E+18,0.691362619,-0.17199707,-0.777130127,-0.596405029
1.77266E+18,0.701399565,-0.127075195,-0.872528076,-0.524383545
1.77266E+18,0.71143651,-0.081848145,-0.936935425,-0.456542969
1.77266E+18,0.721474648,-0.037719727,-0.980529785,-0.403091431
1.77266E+18,0.731511593,0.009933472,-1.00819397,-0.364181519
