x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro,excercise
0.845566,-0.100223,-0.078912,-2.42051,-1.472447,1.203327,arm_curl
0.685964,-0.145877,-0.212476,-2.014596,-2.093303,2.091475,arm_curl
0.481247,0.132901,-0.15868,-1.000593,-2.62447,2.985907,arm_curl
0.37414,0.13738,0.093293,-0.914963,-2.907668,3.612327,arm_curl
0.202026,-0.112427,0.16263,-0.156011,-2.978053,4.377686,arm_curl
0.124789,-0.141784,0.330383,-1.261726,-2.817452,4.591433,arm_curl
-0.271297,-0.033888,0.590971,-2.204348,-2.808241,3.848051,arm_curl
-0.151321,-0.414795,0.611161,-3.295239,-1.979396,4.302258,arm_curl
-0.101951,0.745137,0.504588,1.20084,-0.696214,4.035024,arm_curl
-0.173309,0.268552,0.687644,-1.846257,-0.012759,3.56344,arm_curl
-0.304123,0.528228,0.319713,0.947449,0.633227,3.304758,arm_curl
0.247803,0.551219,0.175513,1.869279,0.533666,2.932259,arm_curl
0.301983,0.641623,0.026875,0.216229,0.779644,1.794438,arm_curl
0.219016,0.368515,-0.009095,-0.141016,0.86089,0.979164,arm_curl
0.135957,0.015131,-0.206517,0.693414,0.783677,0.719271,arm_curl
0.103983,-0.090591,-0.118852,-0.341244,0.356409,0.372659,arm_curl
0.11921,-0.133588,-0.243315,-0.294554,0.247513,0.261525,arm_curl
0.096721,0.014164,-0.081879,0.469654,0.375604,0.025043,arm_curl
0.137186,-0.149297,0.033706,-0.225069,0.201279,0.266163,arm_curl
-0.012446,0.220574,0.11533,0.184295,0.194011,0.142967,arm_curl
0.079604,-0.074414,0.08041,-0.263019,0.067879,0.292916,arm_curl
0.009237,0.080256,0.057429,-0.509595,0.063289,0.295964,arm_curl
0.124131,-0.066128,-0.112751,0.279479,0.200548,0.315013,arm_curl
0.110659,0.041227,-0.042014,0.09723,0.183983,-0.01369,arm_curl
-0.055461,-0.160917,0.002404,-0.271613,0.228303,-0.110903,arm_curl
0.078779,0.108893,0.122453,-0.118004,0.063501,0.112243,arm_curl
0.061739,0.073076,-0.100248,0.153883,-0.045129,0.20807,arm_curl
-0.001909,0.072925,-0.02074,0.265229,0.027659,0.038259,arm_curl
0.116077,-0.116002,-0.122594,-0.1986,-0.125503,-0.106308,arm_curl
0.114688,0.022964,-0.177599,0.633069,-0.042496,-0.221515,arm_curl
0.325794,-0.205341,-0.156165,-0.040618,-0.663571,-0.472324,arm_curl
0.287671,0.091449,-0.350415,0.52866,-0.820281,-0.972592,arm_curl
0.208012,0.012829,-0.250877,0.058621,-1.170795,-1.684508,arm_curl
0.040278,-0.087478,-0.116947,0.128391,-1.483241,-1.522704,arm_curl
-0.329114,-0.110402,0.26,-1.074186,-1.665351,-1.348477,arm_curl
-0.466814,0.499875,0.262513,1.195097,-1.619488,-1.147622,arm_curl
-0.460116,0.578456,0.230318,2.413498,-1.094534,-1.198234,arm_curl
-0.311302,0.128211,0.524446,1.734023,-0.481387,-0.974264,arm_curl
-0.033131,-0.176804,0.340688,1.66808,0.278001,-0.38137,arm_curl
0.197437,-0.103481,0.145288,2.059032,0.808343,0.039411,arm_curl
0.459397,-0.733612,-0.103281,1.247656,0.389238,0.245707,arm_curl
0.190296,0.121084,-0.109862,-1.2509,-0.350524,-0.388623,arm_curl
-0.032915,-0.226505,0.039264,-0.015903,-0.318344,-0.158112,arm_curl
-0.199387,-0.006553,-0.159824,0.035711,-0.410416,0.169024,arm_curl
-0.036754,0.038559,-0.276073,-0.645445,-0.895979,0.430173,arm_curl
