x_accel,y_accel,z_accel,excercise
-1.1807,-0.3799,0.1606,arm_curl
-1.1963,-0.3408,0.1527,arm_curl
-1.2041,-0.3173,0.1685,arm_curl
-1.1651,-0.2782,0.2002,arm_curl
-1.2119,-0.2469,0.2002,arm_curl
-1.1495,-0.2469,0.2239,arm_curl
-1.1651,-0.1765,0.2239,arm_curl
-1.1339,-0.1531,0.1764,arm_curl
-1.0714,-0.0827,0.216,arm_curl
-1.1261,-0.0749,0.2002,arm_curl
-1.1105,-0.0045,0.1527,arm_curl
-1.048,0.0268,0.216,arm_curl
-1.0949,0.0425,0.2002,arm_curl
-1.048,0.0738,0.1685,arm_curl
-1.0636,0.0894,0.2635,arm_curl
-1.0168,0.0738,0.1527,arm_curl
-1.0324,0.1129,0.2239,arm_curl
-0.9934,0.1285,0.129,arm_curl
-0.9388,0.2224,0.2318,arm_curl
-0.9778,0.2067,0.129,arm_curl
-0.97,0.2302,0.1448,arm_curl
-0.8919,0.2693,0.1923,arm_curl
-0.8998,0.2771,0.1764,arm_curl
-0.8607,0.2849,0.2081,arm_curl
-0.8529,0.2849,0.2318,arm_curl
-0.8451,0.324,0.2081,arm_curl
-0.7827,0.324,0.1685,arm_curl
-0.7749,0.3553,0.129,arm_curl
-0.7983,0.4335,0.1923,arm_curl
-0.7671,0.4179,0.1923,arm_curl
-0.6968,0.4414,0.1527,arm_curl
-0.7125,0.457,0.1923,arm_curl
-0.65,0.4805,0.121,arm_curl
-0.6422,0.5039,0.1369,arm_curl
-0.6344,0.5196,0.1448,arm_curl
-0.6032,0.5274,0.1527,arm_curl
-0.572,0.5274,0.121,arm_curl
-0.533,0.5587,0.1606,arm_curl
-0.5251,0.6134,0.1606,arm_curl
-0.4627,0.59,0.129,arm_curl
-0.4939,0.6369,0.121,arm_curl
-0.4861,0.6291,0.0894,arm_curl
-0.4003,0.6682,0.0736,arm_curl
-0.3769,0.6525,0.0815,arm_curl
-0.3535,0.7073,0.121,arm_curl
-0.33,0.6291,0.0815,arm_curl
-0.291,0.6604,0.0973,arm_curl
-0.2832,0.6682,0.0657,arm_curl
-0.2598,0.676,0.0419,arm_curl
-0.2286,0.6995,-0.0055,arm_curl
-0.2364,0.7229,0.0261,arm_curl
-0.1818,0.6995,-0.0134,arm_curl
-0.1818,0.7229,0.0103,arm_curl
-0.1505,0.7151,-0.0688,arm_curl
-0.1115,0.762,-0.0293,arm_curl
-0.0959,0.7229,-0.0688,arm_curl
-0.0647,0.7464,-0.1242,arm_curl
-0.1037,0.809,-0.0767,arm_curl
-0.0335,0.7542,-0.14,arm_curl
-0.0179,0.809,-0.2112,arm_curl
0.0055,0.8168,-0.1796,arm_curl
0.0211,0.8246,-0.1954,arm_curl
0.0446,0.8324,-0.2271,arm_curl
0.0446,0.8794,-0.1875,arm_curl
0.0836,0.8481,-0.2904,arm_curl
0.0602,0.8637,-0.2904,arm_curl
0.068,0.8559,-0.3299,arm_curl
0.1226,0.8402,-0.3537,arm_curl
0.0914,0.8246,-0.3299,arm_curl
0.0992,0.8246,-0.3695,arm_curl
