x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro,excercise
-0.6867073,0.1156298,0.1351596,14.99663,-1.157321,1.588912,arm_curl
-1.026866,0.1688354,0.2204206,17.48394,-2.432334,-0.11394,arm_curl
-0.9260332,0.1398539,0.2212165,14.73492,-0.6445315,-2.686763,arm_curl
-0.9824303,0.187861,0.2097683,20.14258,-0.1411843,-3.710396,arm_curl
-0.9693049,0.1798036,0.212227,17.66556,1.334749,-8.973157,arm_curl
-1.008115,0.1958214,0.2109942,18.43193,3.220628,-10.61216,arm_curl
-1.012367,0.1742806,0.188586,6.046774,-0.3011655,-10.47441,arm_curl
-1.00815,0.1273781,0.1923845,7.542679,-2.687483,-11.13485,arm_curl
-0.992923,0.1538251,0.1929544,8.765999,-3.159605,-9.285905,arm_curl
-0.9909959,0.1218009,0.1978082,5.130473,-4.665374,-7.087971,arm_curl
-0.9851057,0.1537422,0.1997198,6.879152,-2.730336,-5.231375,arm_curl
-0.9769818,0.179755,0.1967799,4.650966,-0.7838157,-4.811857,arm_curl
-0.9701886,0.1631012,0.2128114,1.641607,1.985785,-6.03678,arm_curl
-0.9948022,0.1910451,0.2240019,-10.27402,5.509139,-8.345439,arm_curl
-1.001868,0.1392116,0.1846405,-22.57451,5.408622,-8.098472,arm_curl
-0.9976507,0.09525721,0.159869,-26.78023,5.167125,-6.816476,arm_curl
-0.9738985,0.09909928,0.1734426,-13.4149,3.644632,-5.307762,arm_curl
-0.9683265,0.1509399,0.1225574,-5.544365,3.13725,-2.389783,arm_curl
-0.9771113,0.1475766,0.2118939,-22.17613,3.488373,-3.918759,arm_curl
-0.9873531,0.08576153,0.1406441,-26.3998,3.325236,-6.138019,arm_curl
-0.9959185,0.03687793,0.1965944,-39.24467,5.201451,-7.953186,arm_curl
-1.010013,0.0543793,0.1655105,-37.68611,12.46265,-3.864907,arm_curl
-1.044378,0.034058,0.2574001,-54.7498,26.62216,11.76734,arm_curl
-1.083586,0.02765237,0.2080251,-43.79363,27.15905,28.11812,arm_curl
-1.038329,0.07473764,0.1398945,-14.84428,20.904,48.93551,arm_curl
-1.04701,0.104581,0.1983001,-0.3528441,23.30326,72.92086,arm_curl
-1.061473,0.2049615,0.1021911,-6.938495,23.14184,90.3091,arm_curl
-1.065731,0.2698381,0.05649081,-17.12562,20.83161,115.9506,arm_curl
-1.081116,0.3404498,0.04242434,-10.4353,15.75731,133.9835,arm_curl
-1.017155,0.4575677,-0.03110883,10.05947,11.05755,163.2426,arm_curl
-0.8598581,0.6488725,-0.1257045,25.29364,13.81253,188.697,arm_curl
-0.7470279,0.7451601,-0.1423448,17.74742,15.62979,197.6489,arm_curl
-0.5327087,0.8522819,-0.1150168,30.91031,20.05949,203.4965,arm_curl
-0.4420429,0.9590066,-0.0911625,32.99712,24.39454,203.8366,arm_curl
-0.2678338,1.012994,-0.04575583,31.73695,34.26317,201.5656,arm_curl
-0.1448801,0.9820367,-0.1110483,24.94651,36.28874,195.8652,arm_curl
-0.06900428,1.003898,-0.1129888,24.83606,41.17833,190.732,arm_curl
-0.001812673,1.037049,-0.1214759,19.66656,49.96204,174.3053,arm_curl
0.05786001,0.9834615,-0.1570505,5.580568,55.82963,151.4286,arm_curl
0.1297237,0.9544282,-0.179662,9.566405,55.93777,139.3736,arm_curl
0.3063328,0.8668277,-0.1458251,12.70833,49.63022,122.231,arm_curl
0.3590082,0.9101869,-0.07592528,9.93474,50.82028,110.0456,arm_curl
0.4002689,0.8526684,-0.1208183,4.939795,54.90362,90.35197,arm_curl
0.4505699,0.7324143,-0.1485528,8.016888,55.76733,77.89238,arm_curl
0.4956746,0.7419077,-0.09935725,20.37541,56.18863,71.53589,arm_curl
0.5558303,0.7459635,-0.04607568,25.80094,48.85117,56.62696,arm_curl
0.605514,0.7225723,-0.06745497,26.55655,37.46405,45.16778,arm_curl
0.5950537,0.7219569,-0.04536471,21.84322,15.92338,27.84121,arm_curl
0.6196167,0.7274285,-0.06297013,6.591379,-19.78792,0.6527663,arm_curl
0.6248659,0.7514726,-0.07563326,0.9296489,-41.85867,-15.25541,arm_curl
0.6274594,0.7428183,-0.1078973,-13.00727,-68.41274,-44.12947,arm_curl
0.6315144,0.7151796,-0.1355249,-14.21506,-77.27886,-60.52519,arm_curl
0.603926,0.7390144,-0.1710113,-18.37833,-76.67457,-67.29702,arm_curl
0.5687226,0.7716284,-0.1838523,-17.25177,-66.7006,-75.46035,arm_curl
0.4911448,0.8281536,-0.210741,-7.242798,-59.15554,-74.99933,arm_curl
0.4411728,0.8831165,-0.1696074,-7.559583,-52.22473,-81.32412,arm_curl
0.3644384,0.94167,-0.2099941,-8.001749,-45.55406,-83.80699,arm_curl
0.3216141,0.9408753,-0.2256012,-6.375541,-39.6554,-87.6435,arm_curl
0.2177521,1.028328,-0.2249117,-6.782797,-32.21745,-89.17696,arm_curl
0.1728842,0.9885697,-0.2347229,-11.6872,-29.36019,-89.65442,arm_curl
0.1022105,1.005068,-0.2255026,-15.13446,-24.87958,-90.02771,arm_curl
0.06820365,0.9664705,-0.2009318,-16.39119,-23.41386,-88.25468,arm_curl
-0.01119011,1.009106,-0.2117913,-13.14446,-18.53391,-87.42953,arm_curl
-0.1165328,0.9942143,-0.2040465,-20.29543,-18.56707,-84.044,arm_curl
-0.1446274,0.9709181,-0.1604442,-14.38179,-20.49478,-81.80401,arm_curl
-0.2057056,1.004557,-0.1670936,-19.09072,-19.05499,-78.7282,arm_curl
-0.2390119,0.936466,-0.1845263,-16.7271,-20.71494,-76.95663,arm_curl
-0.3249397,0.9722867,-0.1100586,-10.72229,-18.04605,-73.64981,arm_curl
-0.4086624,1.001582,-0.1299451,-18.12953,-18.07502,-75.9972,arm_curl
-0.4218427,0.9544976,-0.1219835,-14.2972,-22.69274,-77.9833,arm_curl
-0.4416743,0.8741354,-0.07719454,-18.82411,-27.64539,-79.37981,arm_curl
-0.4774564,0.8392002,-0.09228295,-16.72731,-28.26488,-81.02301,arm_curl
-0.5397736,0.8520403,-0.08620407,-8.454108,-29.92519,-89.90219,arm_curl
