x_accel,y_accel,z_accel,excercise
-0.0491,0.9576,0.3584,bench_press
-0.1583,0.8872,0.3268,bench_press
-0.1193,0.7777,0.3347,bench_press
-0.0647,0.8168,0.2793,bench_press
-0.1583,0.7933,0.2002,bench_press
-0.1271,0.7855,0.2081,bench_press
-0.0491,0.7542,0.1685,bench_press
-0.0413,0.7307,0.1923,bench_press
0.0446,0.7699,0.2476,bench_press
0.0133,0.7151,0.216,bench_press
0.185,0.6995,0.3347,bench_press
0.0992,0.676,0.2635,bench_press
-0.0413,0.7229,0.2002,bench_press
-0.1115,0.6916,0.216,bench_press
-0.1662,0.6056,0.1527,bench_press
-0.2052,0.5039,0.2002,bench_press
-0.1583,0.5274,0.2714,bench_press
-0.0803,0.5978,0.2793,bench_press
-0.0179,0.59,0.2872,bench_press
-0.0413,0.6291,0.2872,bench_press
-0.0101,0.6213,0.2476,bench_press
-0.1818,0.6525,0.1606,bench_press
-0.1974,0.7151,0.121,bench_press
-0.1115,0.6838,0.2002,bench_press
-0.1115,0.6525,0.216,bench_press
-0.1115,0.6916,0.1685,bench_press
0.0758,0.762,0.216,bench_press
0.3255,1.0905,0.1685,bench_press
0.1226,1.2079,0.121,bench_press
0.2631,1.2235,0.2002,bench_press
0.2943,1.2391,0.2793,bench_press
0.2319,1.1766,0.3742,bench_press
0.3801,1.114,0.5562,bench_press
0.0836,1.1531,0.5799,bench_press
-0.1662,1.1375,0.5087,bench_press
-0.0491,1.1766,0.4454,bench_press
-0.1271,1.1453,0.485,bench_press
-0.1583,1.1218,0.39,bench_press
-0.174,1.1687,0.2951,bench_press
0.0836,1.1922,0.3742,bench_press
-0.0491,1.0984,0.3188,bench_press
-0.0803,0.9967,0.2793,bench_press
0.0133,0.9889,0.2951,bench_press
0.0211,0.981,0.2714,bench_press
0.0133,1.0201,0.1685,bench_press
-0.0101,0.895,0.2872,bench_press
-0.0491,0.8168,0.2635,bench_press
-0.0179,0.8324,0.3584,bench_press
0.068,0.8637,0.3268,bench_press
0.0524,0.8794,0.2793,bench_press
0.0602,0.809,0.3268,bench_press
0.1928,0.8011,0.3347,bench_press
0.1772,0.7542,0.398,bench_press
-0.0179,0.7933,0.3505,bench_press
0.0055,0.8168,0.3663,bench_press
-0.0101,0.7855,0.3505,bench_press
0.146,0.8324,0.3663,bench_press
0.1304,0.8715,0.2476,bench_press
0.0368,0.9576,0.3347,bench_press
-0.0179,0.8715,0.3109,bench_press
-0.0959,0.9263,0.2951,bench_press
-0.0491,0.9341,0.2635,bench_press
-0.1427,0.981,0.2714,bench_press
