x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro,excercise
0.5645758,0.1492026,-0.03400261,2.912036,1.122718,5.986338,bench_press
0.8449419,0.2826842,-0.1477792,10.74481,1.039498,9.992566,bench_press
0.7695027,0.2708788,-0.09359048,-1.432574,0.8375161,11.32727,bench_press
0.8577904,0.1611894,-0.08234737,-5.913658,3.352314,23.27052,bench_press
0.7934193,0.2659608,-0.09971188,0.3381397,6.746979,31.962,bench_press
0.8511505,0.3296095,-0.1102194,-3.928575,6.365551,25.67068,bench_press
0.8614605,0.3285831,-0.04631246,0.05109569,7.800883,24.74062,bench_press
0.934347,0.3408674,-0.06168725,2.43841,10.7345,8.740831,bench_press
0.9721947,0.3277655,-0.06358295,6.755659,7.277694,8.85472,bench_press
1.000588,0.3048677,-0.1763996,20.32703,2.260205,10.07937,bench_press
0.9694757,0.3377429,-0.1552248,21.11295,3.981927,1.837026,bench_press
0.965174,0.325246,-0.009262361,16.05621,6.740348,3.935924,bench_press
0.9687423,0.3506546,0.009278734,23.02012,10.16268,2.121806,bench_press
0.9799087,0.3632383,-0.1661497,26.46745,9.138596,-7.778754,bench_press
1.001538,0.343037,-0.06290746,0.151597,-4.5167,-4.444649,bench_press
0.9923861,0.3378949,-0.08183153,7.533817,1.687235,-0.7009026,bench_press
0.9564123,0.3838845,-0.07331719,25.55895,2.275754,-3.366955,bench_press
0.9494646,0.3478857,-0.07746818,11.30093,1.273815,-9.469387,bench_press
0.9665978,0.3296076,-0.02963792,8.701004,-2.508305,-5.139955,bench_press
0.9702099,0.3065219,-0.06397094,13.3067,0.3328232,-8.061492,bench_press
0.9624776,0.32411,-0.07874613,17.31179,1.5234,-8.607029,bench_press
0.9469884,0.3391702,-0.1029186,0.2701022,-3.608528,-12.92936,bench_press
0.9438393,0.318712,-0.07037877,4.575889,-4.727688,-12.92309,bench_press
1.007276,0.3510013,-0.1073275,7.981634,0.08342302,-15.74056,bench_press
0.9558516,0.3429335,-0.1202396,20.97349,0.488498,-18.81771,bench_press
0.943573,0.3505625,-0.1538878,8.183509,-10.76413,-15.1188,bench_press
0.940568,0.3472398,-0.1173944,13.77507,-6.893562,-14.16294,bench_press
0.9223031,0.4251843,-0.04555773,-3.775729,-5.709572,-10.16721,bench_press
0.9309425,0.3793144,-0.1204518,5.502274,3.504125,-15.83663,bench_press
0.9278125,0.3808376,-0.1257899,-0.816574,-4.878483,-9.234996,bench_press
0.9609842,0.3795861,-0.1512429,3.631393,-5.30829,-3.533787,bench_press
1.139454,0.4826524,-0.08180068,-4.495416,-0.9238318,-3.472455,bench_press
1.309468,0.4101952,-0.2010662,12.56816,9.161528,4.382019,bench_press
1.268838,0.4403353,-0.1953763,0.7000654,-1.256255,29.32517,bench_press
1.217577,0.4770302,-0.010392,-20.66959,0.1194586,41.47055,bench_press
1.068165,0.5125628,0.0315997,-17.79098,8.455722,40.05547,bench_press
1.027168,0.4336498,-0.07469549,-25.21468,14.22735,33.89014,bench_press
0.9552812,0.4129271,-0.1313687,-29.291,9.913734,20.5375,bench_press
0.8968693,0.3639201,-0.109058,-38.10281,0.4435684,11.75074,bench_press
0.8840907,0.3600332,-0.06350353,-32.56715,-4.741808,1.362625,bench_press
0.8604862,0.2859974,-0.03401592,-31.29998,-8.712075,-7.480447,bench_press
0.8369367,0.2935526,-0.1170024,-25.46087,2.03035,-14.27589,bench_press
0.8104881,0.2851989,-0.08120794,-22.25572,-9.031507,-23.97522,bench_press
0.790542,0.2454804,-0.05757607,-17.01037,-16.11332,-27.07105,bench_press
0.8242391,0.2409442,-0.0675524,-12.13783,-13.08928,-25.84763,bench_press
0.8013237,0.3072915,-0.03799328,-3.875913,-12.87345,-26.71049,bench_press
0.7970851,0.2676497,-0.07758909,-1.462596,-9.595941,-24.64614,bench_press
0.8476064,0.2779458,-0.1558046,8.313024,-14.14065,-19.8699,bench_press
0.8596696,0.3027305,-0.1468221,6.69706,-12.03325,-14.44231,bench_press
0.8975941,0.3615517,-0.135268,14.89686,-6.795884,-4.660215,bench_press
0.8163785,0.4380395,-0.04841402,-1.252225,-6.636313,-4.262056,bench_press
0.9113368,0.265101,-0.07005829,-11.68174,-4.622586,-3.588135,bench_press
0.8681265,0.4200765,-0.1611381,-2.105561,-4.216149,-3.39705,bench_press
0.9610533,0.2216221,-0.03128974,-3.12287,-7.563272,-1.752544,bench_press
0.872553,0.3684396,-0.1173095,5.287909,-2.46826,8.684213,bench_press
0.8486365,0.3291086,-0.1735419,-11.75586,-4.302285,3.918329,bench_press
0.8886009,0.3399544,-0.1192349,-1.034081,-1.998662,6.652753,bench_press
0.8740254,0.3993151,-0.159134,-3.709927,-0.03778951,9.387144,bench_press
0.8815715,0.3115948,-0.1412644,-1.033339,-1.35331,9.037826,bench_press
0.8427687,0.2477952,-0.09939203,-3.238239,-0.2824641,14.19737,bench_press
0.7963144,0.2755889,-0.1736359,6.717811,-1.232395,16.98061,bench_press
0.8219369,0.2295738,-0.01703715,-0.6060258,-1.681676,17.7268,bench_press
0.8842302,0.2973046,-0.09811256,0.1988235,4.132847,22.02416,bench_press
0.8695442,0.2920998,-0.1312752,-4.940669,4.830707,19.29659,bench_press
1.013082,0.3571699,-0.2334423,16.63123,5.851118,18.50602,bench_press
0.9036844,0.3042698,-0.09284122,5.531883,3.224459,16.76002,bench_press
0.8976423,0.2376916,-0.1734461,15.41477,8.943666,17.40705,bench_press
0.8855945,0.2963282,-0.1476429,16.57912,3.363501,10.40002,bench_press
0.9704087,0.2927586,-0.09381658,16.94392,1.542005,9.543859,bench_press
1.015972,0.3344434,-0.06603167,13.26426,5.898848,2.272934,bench_press
0.9635529,0.3082014,-0.1295919,15.02022,8.809837,-3.829224,bench_press
1.028995,0.2827517,-0.1510096,24.4012,7.687108,-8.69228,bench_press
0.9957349,0.3090539,-0.146973,23.76506,1.227142,-5.717075,bench_press
0.9351967,0.3025016,-0.1275078,20.57029,-1.954599,-12.27426,bench_press
0.860559,0.3142788,-0.09342295,13.48866,-6.523157,-6.014151,bench_press
0.9454352,0.3520209,-0.02976929,12.28376,0.0858516,-17.07516,bench_press
