x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro,excercise
-0.986328,0.149414,0.196777,23.3125,-1.125,3.0625,arm_curl
-0.964844,0.177734,0.193359,18,-2.3125,0.6875,arm_curl
-0.964844,0.177734,0.193359,18,-2.3125,0.6875,arm_curl
-0.949707,0.12207,0.222656,13.3125,-2.5,-0.8125,arm_curl
-0.948242,0.145508,0.221191,16.125,-1.0625,-2,arm_curl
-0.969727,0.165527,0.223633,16.0625,-0.5625,-2.8125,arm_curl
-0.969727,0.165527,0.223633,16.0625,-0.5625,-2.8125,arm_curl
-0.956055,0.149414,0.216797,18,-0.125,-3.25,arm_curl
-0.958496,0.186523,0.19873,22.4375,-0.25,-4.125,arm_curl
-0.959473,0.217773,0.197754,20.25,1.4375,-7.0625,arm_curl
-1.00293,0.176758,0.224121,12.75,0.1875,-8.875,arm_curl
-0.990234,0.158691,0.224121,19.9375,2.5625,-10.625,arm_curl
-0.990723,0.197754,0.20459,19.75,3.5,-10.375,arm_curl
-0.990723,0.197754,0.20459,19.75,3.5,-10.375,arm_curl
-1.024414,0.21875,0.196777,9.1875,0.875,-10.5,arm_curl
-1.020996,0.15332,0.187012,2.4375,-0.4375,-10.4375,arm_curl
-1.007324,0.12793,0.195801,6.25,-1.75,-11.125,arm_curl
-1.013672,0.157227,0.186523,9.5625,-2.0625,-10.75,arm_curl
-0.997559,0.135742,0.189941,7.5625,-2.875,-10.8125,arm_curl
-0.997559,0.135742,0.189941,7.5625,-2.875,-10.8125,arm_curl
-0.994629,0.128906,0.20459,7.5625,-3.75,-9.1875,arm_curl
-0.994629,0.163086,0.192383,9.8125,-3.1875,-8.0625,arm_curl
-0.988281,0.157715,0.185059,6.5,-4.25,-7.5625,arm_curl
-0.989258,0.098145,0.204102,3.5625,-4.875,-6.4375,arm_curl
-0.989258,0.098145,0.204102,3.5625,-4.875,-6.4375,arm_curl
-0.981934,0.18457,0.199219,8.625,-1.5625,-5,arm_curl
-0.981934,0.18457,0.199219,8.625,-1.5625,-5,arm_curl
-0.985352,0.173828,0.186523,4.875,-1.625,-4.3125,arm_curl
-0.96875,0.161621,0.20459,1.6875,-0.625,-4.6875,arm_curl
-0.974121,0.168945,0.205566,2.9375,0.8125,-6.3125,arm_curl
-0.964355,0.164063,0.214355,4.5625,1.8125,-5.8125,arm_curl
-0.981445,0.190918,0.218262,-2.4375,4.375,-6.375,arm_curl
-0.992676,0.174805,0.222656,-10.1875,4.6875,-8.3125,arm_curl
-0.992676,0.174805,0.222656,-10.1875,4.6875,-8.3125,arm_curl
-1.003418,0.185547,0.203125,-17.6875,7.0625,-8.5625,arm_curl
-1.01123,0.151855,0.192871,-25.9375,5.25,-9.0625,arm_curl
-0.986328,0.088867,0.162109,-26,5.1875,-6.8125,arm_curl
-1.003906,0.103027,0.155273,-23.8125,4.75,-6.375,arm_curl
-1.003906,0.103027,0.155273,-23.8125,4.75,-6.375,arm_curl
-0.979004,0.088379,0.19043,-24.1875,5.3125,-7.4375,arm_curl
-0.966309,0.112793,0.175293,-15.4375,4.125,-5.1875,arm_curl
-0.977051,0.080078,0.148438,-6.25,1.875,-3.875,arm_curl
-0.965332,0.166016,0.116699,-1.6875,3.1875,-1.75,arm_curl
-0.965332,0.166016,0.116699,-1.6875,3.1875,-1.75,arm_curl
-0.979492,0.151367,0.203613,-25.375,4.25,-4.4375,arm_curl
-0.979492,0.151367,0.203613,-25.375,4.25,-4.4375,arm_curl
-0.974609,0.095215,0.19873,-19.875,1.3125,-3.625,arm_curl
-0.969727,0.135742,0.162109,-18.4375,3,-5.25,arm_curl
-1.028809,0.076172,0.120605,-31.75,5.9375,-6.0625,arm_curl
-0.973633,0.034668,0.175781,-40.25,3.3125,-8.8125,arm_curl
-0.973633,0.034668,0.175781,-40.25,3.3125,-8.8125,arm_curl
-1.019531,0.001465,0.213379,-34,9,-6.6875,arm_curl
-1.018555,0.137695,0.208008,-34.125,10.4375,-2.0625,arm_curl
-1.001465,0.017578,0.125488,-43.125,13.1875,-5,arm_curl
-1.025391,0.015625,0.178711,-49.4375,21.875,3.5625,arm_curl
-1.03125,0.060059,0.304688,-56.6875,28.8125,12.8125,arm_curl
-1.086426,0.023438,0.263184,-49.375,27.3125,21.9375,arm_curl
-1.086426,0.023438,0.263184,-49.375,27.3125,21.9375,arm_curl
-1.0625,0.058594,0.129395,-40.8125,27.4375,31.6875,arm_curl
-1.055176,0.015137,0.149414,-29.1875,23,39,arm_curl
-1.064941,0.078125,0.146484,-8.5625,19.25,50.6875,arm_curl
-1.007324,0.105469,0.1875,-6.625,21.1875,58.8125,arm_curl
-1.038574,0.103027,0.189453,-3.9375,23.625,66.6875,arm_curl
-1.067383,0.123535,0.168945,-1.4375,23.8125,80.4375,arm_curl
-1.067383,0.123535,0.168945,-1.4375,23.8125,80.4375,arm_curl
-1.035645,0.196289,0.101074,-4.5,22.25,89.375,arm_curl
-1.068359,0.285156,0.054199,-12.3125,22.1875,102,arm_curl
-1.070313,0.276367,0.080078,-18.1875,22.375,110.5,arm_curl
-1.071289,0.228516,0.053223,-20.1875,20.9375,119.125,arm_curl
-1.075195,0.319824,0.037598,-10.125,16.25,130.3125,arm_curl
-1.075195,0.319824,0.037598,-10.125,16.25,130.3125,arm_curl
-1.054688,0.430664,0.048828,-5,12.875,143.75,arm_curl
-1.061035,0.429199,-0.020508,3,14.25,158.8125,arm_curl
-1.024902,0.443848,-0.06543,14.4375,8.5625,169.0625,arm_curl
-0.859375,0.574707,-0.094238,27.0625,10.875,179.625,arm_curl
-0.867676,0.67334,-0.107422,24.5625,16.4375,189.0625,arm_curl
-0.817871,0.717285,-0.149414,19.625,14.8125,194.5625,arm_curl
-0.817871,0.717285,-0.149414,19.625,14.8125,194.5625,arm_curl
-0.684082,0.73877,-0.144043,16.375,14.5625,199.6875,arm_curl
-0.594238,0.806152,-0.118164,28.6875,19.4375,200.875,arm_curl
-0.553223,0.868164,-0.104492,29.125,20.5,204.5625,arm_curl
-0.476563,0.913574,-0.11377,32.75,21.6875,203.375,arm_curl
-0.476563,0.913574,-0.11377,32.75,21.6875,203.375,arm_curl
-0.391113,0.970215,-0.073242,35.4375,26.75,204.25,arm_curl
-0.369629,1.026855,-0.046387,34.0625,32,203.4375,arm_curl
-0.272949,1.00293,-0.047363,24.4375,31.5,200.125,arm_curl
-0.17334,0.993652,-0.076172,31.875,37.125,199.0625,arm_curl
-0.17334,0.993652,-0.076172,31.875,37.125,199.0625,arm_curl
-0.134766,0.993652,-0.134766,21.75,37.4375,193.0625,arm_curl
-0.134766,0.993652,-0.134766,21.75,37.4375,193.0625,arm_curl
-0.01416,0.940918,-0.079102,19,35.9375,191.625,arm_curl
-0.021973,1.066406,-0.134277,34.5,50.625,184.625,arm_curl
-0.096191,1.064453,-0.104492,24.875,51.5625,180.25,arm_curl
0.040527,1.019043,-0.135254,7.5625,45.125,169.875,arm_curl
0.075684,0.971191,-0.136719,8.5625,52.375,157.625,arm_curl
0.042969,0.987793,-0.162109,10.625,59.6875,150.1875,arm_curl
0.042969,0.987793,-0.162109,10.625,59.6875,150.1875,arm_curl
0.126465,1.010742,-0.196777,1.5,52.875,140,arm_curl
0.168945,0.868652,-0.147949,4.25,51.9375,133.3125,arm_curl
0.231445,0.89209,-0.180664,22.3125,55.4375,132.3125,arm_curl
0.296387,0.922363,-0.174805,14.8125,51.875,124.0625,arm_curl
0.353516,0.86084,-0.082031,6.6875,46.625,113.0625,arm_curl
0.353516,0.86084,-0.082031,6.6875,46.625,113.0625,arm_curl
0.37793,0.918945,-0.083008,14,54.25,107.75,arm_curl
0.356445,0.928711,-0.09375,10.0625,56.625,99.6875,arm_curl
0.391602,0.864746,-0.129883,2.6875,52.625,91.1875,arm_curl
0.442383,0.758789,-0.126953,-1.3125,52.8125,81.125,arm_curl
0.45166,0.740723,-0.151367,11.0625,57.4375,78.3125,arm_curl
