x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro,excercise
0.808105,0.271484,-0.070313,5.625,2.0625,6.4375,bench_press
0.795898,0.194824,-0.062988,5.1875,0.5625,10.25,bench_press
0.795898,0.194824,-0.062988,5.1875,0.5625,10.25,bench_press
0.777832,0.307129,-0.25293,19.125,3.25,9.375,bench_press
0.79248,0.359375,-0.135742,2.3125,-0.25,8.75,bench_press
0.783691,0.241699,-0.032227,-5.25,-1.5625,10.0625,bench_press
0.81543,0.187988,-0.022461,-5.875,2.5,19.1875,bench_press
0.896484,0.233398,-0.189453,-0.25,6.5625,17.75,bench_press
0.777832,0.120605,-0.077148,-8.5,1.4375,27.0625,bench_press
0.777832,0.120605,-0.077148,-8.5,1.4375,27.0625,bench_press
0.933594,0.435059,0.027832,13.5625,10.375,37.375,bench_press
0.753906,0.335938,-0.308105,-2.75,13.4375,26.5625,bench_press
0.700684,0.044434,-0.029297,-19.75,-4,26.1875,bench_press
1.046387,0.525391,-0.062988,17.5625,8.9375,29.375,bench_press
0.812012,0.415039,-0.129395,-13.3125,10.625,21.9375,bench_press
0.816895,0.229492,-0.021484,0.1875,6.375,22.6875,bench_press
0.816895,0.229492,-0.021484,0.1875,6.375,22.6875,bench_press
1.068359,0.426758,-0.100098,13,14.125,16.6875,bench_press
0.912598,0.428223,-0.060059,-9.5,8.375,0.625,bench_press
0.895996,0.315918,-0.016602,5.5625,7.75,3.4375,bench_press
0.976074,0.163574,-0.095703,11.75,13.875,12.375,bench_press
1.01709,0.39502,-0.106445,12.625,0.1875,13.0625,bench_press
1.01709,0.39502,-0.106445,12.625,0.1875,13.0625,bench_press
1.005371,0.323242,-0.23584,21.3125,4.9375,2.625,bench_press
0.915039,0.172363,-0.220703,25.3125,5.75,3.5,bench_press
0.981445,0.352539,-0.07373,27.9375,0.25,8.125,bench_press
1.035645,0.433594,-0.12793,11.5625,6.0625,0.3125,bench_press
0.920898,0.353516,-0.06543,10.8125,3.75,-0.8125,bench_press
0.953125,0.267578,0.023438,22.4375,10.6875,6.4375,bench_press
0.953125,0.267578,0.023438,22.4375,10.6875,6.4375,bench_press
1.024902,0.418945,0.069336,23.0625,6.9375,-0.125,bench_press
0.912598,0.339844,-0.089844,13.5,4.9375,-2.6875,bench_press
1.052734,0.457031,-0.18457,45.4375,20.8125,-3,bench_press
0.895508,0.279785,-0.180664,12.9375,9,-10.375,bench_press
1.020996,0.318848,-0.054199,13.5,-11.3125,-9.9375,bench_press
1.027832,0.359375,-0.07959,1.125,-0.1875,-1.25,bench_press
1.027832,0.359375,-0.07959,1.125,-0.1875,-1.25,bench_press
0.92627,0.407227,-0.040039,-7.75,-2,-1.8125,bench_press
0.989746,0.250488,-0.109375,12,-0.625,-3.3125,bench_press
1.032227,0.349121,-0.072754,36.1875,6.5625,1.5625,bench_press
0.933105,0.407227,-0.078613,19.625,2.75,-4.5625,bench_press
0.933105,0.407227,-0.078613,19.625,2.75,-4.5625,bench_press
0.930176,0.396973,-0.038574,10.625,-4.0625,-12,bench_press
0.987305,0.297852,-0.12207,12.75,3.625,-7.9375,bench_press
0.937988,0.24707,-0.058594,8.375,1.75,-5.0625,bench_press
1.003906,0.415527,0.032227,13.5625,-3.5625,-8.5,bench_press
0.940918,0.335449,-0.06543,5.8125,-3.625,-4.875,bench_press
0.940918,0.335449,-0.06543,5.8125,-3.625,-4.875,bench_press
0.998535,0.202637,-0.057129,15.375,4.5,-7.9375,bench_press
1.003906,0.369629,-0.086426,32.125,5,-11.6875,bench_press
0.928223,0.319336,-0.072266,8.9375,-1.3125,-10.0625,bench_press
0.920898,0.334961,-0.07959,5.9375,-3.375,-7.0625,bench_press
1.004883,0.366211,-0.111328,7.1875,1.25,-8.75,bench_press
0.927734,0.30957,-0.100586,0.1875,-5.125,-16.625,bench_press
0.927734,0.30957,-0.100586,0.1875,-5.125,-16.625,bench_press
0.958984,0.338867,-0.027832,3.8125,-6.4375,-11.375,bench_press
0.959473,0.32666,-0.118164,9.875,0.9375,-10.125,bench_press
0.989258,0.328613,-0.069336,0,-5.0625,-14.75,bench_press
1.012207,0.384766,-0.123535,15.125,1.1875,-18.75,bench_press
1.012207,0.384766,-0.123535,15.125,1.1875,-18.75,bench_press
0.94043,0.200684,-0.141602,19.4375,7.125,-20.375,bench_press
0.932129,0.437012,-0.076172,25.3125,-7,-14.875,bench_press
0.928223,0.408691,-0.169922,4.625,-15.25,-13.75,bench_press
0.964355,0.283691,-0.191895,4,-7.625,-17.5625,bench_press
0.947754,0.330078,-0.109863,14.5,-7.125,-15.0625,bench_press
0.947754,0.330078,-0.109863,14.5,-7.125,-15.0625,bench_press
0.935547,0.42627,-0.121094,14.5,-6.5625,-10.6875,bench_press
0.881348,0.42334,-0.016113,-8,-8.9375,-8.25,bench_press
0.94043,0.402832,-0.037598,-7.3125,-4.5625,-12.375,bench_press
0.946777,0.387695,-0.114746,4.75,3.5,-15.1875,bench_press
0.946777,0.387695,-0.114746,4.75,3.5,-15.1875,bench_press
0.901367,0.389648,-0.134277,6.5625,1.625,-14.0625,bench_press
0.907715,0.384277,-0.116699,1.125,-4.5,-11.0625,bench_press
0.947266,0.349609,-0.12793,-4.25,-6.8125,-7.875,bench_press
0.952148,0.390625,-0.147461,1.5625,-5.1875,-4.625,bench_press
0.977051,0.391602,-0.150879,3.5,-3.875,-3.875,bench_press
0.977051,0.391602,-0.150879,3.5,-3.875,-3.875,bench_press
